🥭芒果独播,#genre#
电视剧1,http://zby.xjqxz.top/dsdsj1/live.m3u8
电视剧2,http://zby.xjqxz.top/dsdsj2/live.m3u8
电视剧4,http://zby.xjqxz.top/gzdsj1/live.m3u8
电视剧5,http://zby.xjqxz.top/gzdsj2/live.m3u8
电视剧6,http://zby.xjqxz.top/gzwxj/live.m3u8
电视剧7,http://zby.xjqxz.top/gzdsj3/live.m3u8
电视剧10,http://zby.xjqxz.top/kzzypd/live.m3u8
电视剧11,http://zby.xjqxz.top/dzzypd/live.m3u8
电视剧12,http://zby.xjqxz.top/dzzypd2/live.m3u8
电视剧13,http://zby.xjqxz.top/dzzypd3/live.m3u8

🇨🇳央视频道,#genre#
CCTV4K,http://enlen.vip:4022/udp/239.200.200.202:8784$云南电信
CCTV4K,http://www.furymax.top:85/udp/239.69.1.111:10304$湖北电信
CCTV4K,http://dev.wugeng.cc:8686/udp/239.76.246.214:1234$湖南电信
CCTV-1 综合,http://coolcat.synology.me:4022/rtp/239.3.1.129:8008$北京联通组播
CCTV-2 财经,http://coolcat.synology.me:4022/rtp/239.3.1.60:8084$北京联通组播
CCTV-3 综艺,http://coolcat.synology.me:4022/rtp/239.3.1.172:8001$北京联通组播
CCTV-4 中文国际,http://coolcat.synology.me:4022/rtp/239.3.1.105:8092$北京联通组播
CCTV-5 体育,http://coolcat.synology.me:4022/rtp/239.3.1.173:8001$北京联通组播
CCTV5+体育赛事,http://coolcat.synology.me:4022/rtp/239.3.1.130:8004$北京联通组播
CCTV-6 电影,http://coolcat.synology.me:4022/rtp/239.3.1.174:8001$北京联通组播
CCTV-7 国防军事,http://coolcat.synology.me:4022/rtp/239.3.1.61:8104$北京联通组播
CCTV-8 电视剧,http://coolcat.synology.me:4022/rtp/239.3.1.175:8001$北京联通组播
CCTV-9 纪录,http://coolcat.synology.me:4022/rtp/239.3.1.62:8112$北京联通组播
CCTV-10 科教,http://coolcat.synology.me:4022/rtp/239.3.1.63:8116$北京联通组播
CCTV-11 戏曲,http://coolcat.synology.me:4022/rtp/239.3.1.152:8120$北京联通组播
CCTV-12 社会与法,http://coolcat.synology.me:4022/rtp/239.3.1.64:8124$北京联通组播
CCTV-13 新闻,http://coolcat.synology.me:4022/rtp/239.3.1.124:8128$北京联通组播
CCTV-14 少儿,http://coolcat.synology.me:4022/rtp/239.3.1.65:8132$北京联通组播
CCTV-15 音乐,http://coolcat.synology.me:4022/rtp/239.3.1.153:8136$北京联通组播
CCTV-17 农业农村,http://coolcat.synology.me:4022/rtp/239.3.1.151:8144$北京联通组播
CCTV-1 综合,http://www.xingwen.online:9810/rtp/239.253.92.83:8012$河北联通组播
CCTV-2 财经,http://www.xingwen.online:9810/rtp/239.253.92.190:6065$河北联通组播
CCTV-3 综艺,http://www.xingwen.online:9810/rtp/239.253.92.191:6057$河北联通组播
CCTV-4 中文国际,http://www.xingwen.online:9810/rtp/239.253.92.251:6141$河北联通组播
CCTV-5 体育,http://www.xingwen.online:9810/rtp/239.253.92.181:6046$河北联通组播
CCTV5+体育赛事,http://www.xingwen.online:9810/rtp/239.253.92.82:8013$河北联通组播
CCTV-6 电影,http://www.xingwen.online:9810/rtp/239.253.92.193:6058$河北联通组播
CCTV-7 国防军事,http://www.xingwen.online:9810/rtp/239.253.92.194:6059$河北联通组播
CCTV-8 电视剧,http://www.xingwen.online:9810/rtp/239.253.92.195:6060$河北联通组播
CCTV-9 纪录,http://www.xingwen.online:9810/rtp/239.253.92.107:6020$河北联通组播
CCTV-10 科教,http://www.xingwen.online:9810/rtp/239.253.92.196:6061$河北联通组播
CCTV-11 戏曲,http://www.xingwen.online:9810/rtp/239.253.93.153:6321$河北联通组播
CCTV-12 社会与法,http://www.xingwen.online:9810/rtp/239.253.92.197:6062$河北联通组播
CCTV-13 新闻,http://www.xingwen.online:9810/rtp/239.253.92.13:8008$河北联通组播
CCTV-14 少儿,http://www.xingwen.online:9810/rtp/239.253.92.198:6063$河北联通组播
CCTV-15 音乐,http://www.xingwen.online:9810/rtp/239.253.93.154:6322$河北联通组播
CCTV-17 农业农村,http://www.xingwen.online:9810/rtp/239.253.93.150:6318$河北联通组播
CCTV第一剧场,http://www.xingwen.online:9810/rtp/239.253.93.138:6428$河北联通组播
CCTV风云剧场,http://www.xingwen.online:9810/rtp/239.253.93.251:6429$河北联通组播
CCTV怀旧剧场,http://www.xingwen.online:9810/rtp/239.253.93.252:6430$河北联通组播
CCTV风云音乐,http://www.xingwen.online:9810/rtp/239.253.93.253:6431$河北联通组播
CCTV风云足球,http://www.xingwen.online:9810/rtp/239.253.93.254:6432$河北联通组播
CCTV央视高网,http://www.xingwen.online:9810/rtp/239.253.93.122:6465$河北联通组播
CCTV央视台球,http://www.xingwen.online:9810/rtp/239.253.93.231:6409$河北联通组播
CCTV电视指南,http://www.xingwen.online:9810/rtp/239.253.93.249:6427$河北联通组播
CCTV兵器科技,http://www.xingwen.online:9810/rtp/239.253.93.47:6435$河北联通组播
CCTV世界地理,http://www.xingwen.online:9810/rtp/239.253.92.131:6113$河北联通组播
CCTV女性时尚,http://www.xingwen.online:9810/rtp/239.253.92.144:6114$河北联通组播
CCTV文化精品,http://www.xingwen.online:9810/rtp/239.253.93.175:6439$河北联通组播
CCTV-1 综合,http://ha.xushining.com:50000/udp/225.1.1.120:5002$天津联通组播
CCTV-2 财经,http://ha.xushining.com:50000/udp/225.1.1.133:5002$天津联通组播
CCTV-3 综艺,http://ha.xushining.com:50000/udp/225.1.1.158:5002$天津联通组播
CCTV-4 中文国际,http://ha.xushining.com:50000/udp/225.1.1.150:5002$天津联通组播
CCTV-5 体育,http://ha.xushining.com:50000/udp/225.1.1.160:5002$天津联通组播
CCTV5+体育赛事,http://ha.xushining.com:50000/udp/225.1.1.121:5002$天津联通组播
CCTV-6 电影,http://ha.xushining.com:50000/udp/225.1.1.195:5002$天津联通组播
CCTV-7 国防军事,http://ha.xushining.com:50000/udp/225.1.1.138:5002$天津联通组播
CCTV-8 电视剧,http://ha.xushining.com:50000/udp/225.1.1.196:5002$天津联通组播
CCTV-9 纪录,http://ha.xushining.com:50000/udp/225.1.1.119:5002$天津联通组播
CCTV-10 科教,http://ha.xushining.com:50000/udp/225.1.1.140:5002$天津联通组播
CCTV-11 戏曲,http://ha.xushining.com:50000/udp/225.1.2.192:5002$天津联通组播
CCTV-12 社会与法,http://ha.xushining.com:50000/udp/225.1.1.142:5002$天津联通组播
CCTV-13 新闻,http://ha.xushining.com:50000/udp/225.1.2.193:5002$天津联通组播
CCTV-14 少儿,http://ha.xushining.com:50000/udp/225.1.1.144:5002$天津联通组播
